scientific name,common names,hymenium type,cap shape,gill type,stipe type,spore color,ecological type,edible,URL
strobilurus trullisatus,none,gills,convex,adnexed,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Strobilurus_trullisatus
amanita arenicola,beach-loving ringless amanita,gills,"depressed, infundibuliform",free,volva,yellow,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_arenicola
conocybe macrospora,none,gills,"campanulate, convex",adnexed,bare,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_macrospora
zhuliangomyces illinitus,"limacella illinita,dripping slimecap,overflowing slimy stem",gills,"convex, flat",free,bare,"cream, white",saprotrophic,unknown,https://en.wikipedia.org/wiki/Zhuliangomyces_illinitus
aureoboletus flaviporus,viscid bolete,pores,convex,adnate,bare,olive-brown,mycorrhizal,edible,https://en.wikipedia.org/wiki/Aureoboletus_flaviporus
clavulinopsis corniculata,meadow coral,smooth,none,none,bare,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Clavulinopsis_corniculata
amanita silvicola,"woodland amanita,kauffman's forest amanita",gills,"convex, flat","free, adnate",volva,white,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Amanita_silvicola
collybia brunneocephala,"brown blewit,brownit,clitocybe brunneocephala",gills,"convex, flat","adnate, decurrent",bare,pink,saprotrophic,choice,https://en.wikipedia.org/wiki/Collybia_brunneocephala
amauroderma rugosum,none,pores,"flat, depressed",subdecurrent,bare,brown,saprotrophic,"unknown, inedible",https://en.wikipedia.org/wiki/Amauroderma_rugosum
leucocoprinus attinorum,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_attinorum
leucocoprinus dunensis,none,gills,"campanulate, flat",free,ring,white,saprotrophic,unknown,https://en.wikipedia.org/wiki/Leucocoprinus_dunensis
calonarius viridirubescens,"cortinarius viridirubescens,yellow-green cort",gills,convex,emarginate,cortina,reddish-brown,mycorrhizal,unknown,https://en.wikipedia.org/wiki/Calonarius_viridirubescens
craterellus atrocinereus,"black chanterelle,california,black chanterelle",ridges,infundibuliform,decurrent,bare,white,mycorrhizal,choice,https://en.wikipedia.org/wiki/Craterellus_atrocinereus
conocybe anthuriae,none,gills,"campanulate, convex",adnate,volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_anthuriae
conocybe volvata,none,gills,"campanulate, convex",adnexed,volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_volvata
conocybe volviradicata,none,gills,"campanulate, conical",free,volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_volviradicata
conocybe corneri,none,gills,"conical, flat","free, adnexed",volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_corneri
conocybe vaginata,none,gills,"conical, ovate","free, adnexed",volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_vaginata
conocybe volviornata,none,gills,conical,adnexed,volva,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_volviornata
conocybe crispella,none,gills,conical,free,bare,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_crispella
conocybe mesospora,none,gills,"ovate, convex",adnexed,bare,brown,saprotrophic,unknown,https://en.wikipedia.org/wiki/Conocybe_mesospora
